EmpID,FirstName,LastName,StartDate,ExitDate,Role,Supervisor,ADEmail,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3960,andreas,torres,8/11/2018,,staff,guy hansen,andreas.torres@bilearner.com,active,part-time,zone a,full-time,unk,not applicable,General Staff,Various Departments,4/5/1947,tx,Operational Support,male,95490,white,married,fully meets,3
1841,remington,bullock,8/14/2018,,staff,brian paul,remington.bullock@bilearner.com,active,contract,zone b,part-time,unk,not applicable,General Staff,Various Departments,10/19/1958,ma,Operational Support,female,62148,hispanic,widowed,exceeds,3
1260,caitlin,robertson,8/16/2018,,staff,tabitha martin,caitlin.robertson@bilearner.com,active,full-time,zone b,part-time,unk,not applicable,General Staff,Various Departments,6/18/1957,ma,Operational Support,female,75748,asian,married,fully meets,3
2457,george,meyers,8/24/2018,,staff,david fox,george.meyers@bilearner.com,active,part-time,zone a,part-time,unk,not applicable,General Staff,Various Departments,4/14/1961,ma,Operational Support,male,82947,hispanic,single,fully meets,2
3393,skyla,santiago,8/25/2018,,staff,jerry gilbert,skyla.santiago@bilearner.com,active,contract,zone b,full-time,unk,not applicable,General Staff,Various Departments,6/4/1942,ma,Operational Support,female,33532,hispanic,married,needs improvement,3
2759,rick,stoica,8/26/2018,,staff,mrs. megan booker,rick.stoica@bilearner.com,active,full-time,zone b,full-time,unk,not applicable,General Staff,Various Departments,5/4/1989,ma,Operational Support,male,2301,white,divorced,fully meets,2
3867,lena,sandoval,8/26/2018,,staff,heather hill,lena.sandoval@bilearner.com,active,part-time,zone b,full-time,unk,not applicable,General Staff,Various Departments,10/21/1986,ma,Operational Support,male,5363,other,widowed,fully meets,3
3977,gordon,wu,8/27/2018,,staff,bryan sanchez,gordon.wu@bilearner.com,active,full-time,zone a,full-time,unk,not applicable,General Staff,Various Departments,8/19/1943,ma,Operational Support,female,41670,black,divorced,fully meets,3
1065,nathaly,cooper,8/28/2018,,staff,erik simon,nathaly.cooper@bilearner.com,active,contract,zone c,temporary,unk,not applicable,General Staff,Various Departments,6/26/1995,ma,Operational Support,male,33438,other,widowed,fully meets,3
1667,george,sheppard,8/28/2018,,staff,gloria franklin,george.sheppard@bilearner.com,active,full-time,zone a,full-time,unk,not applicable,General Staff,Various Departments,3/19/1972,ma,Operational Support,male,62112,black,widowed,fully meets,3
3676,leah,robinson,8/29/2018,,staff,craig hawkins,leah.robinson@bilearner.com,active,contract,zone b,part-time,unk,not applicable,General Staff,Various Departments,11/29/1993,ma,Operational Support,male,35858,black,divorced,fully meets,3
2038,weston,rios,9/2/2018,,staff,pamela calderon,weston.rios@bilearner.com,active,part-time,zone a,temporary,unk,not applicable,General Staff,Various Departments,5/4/2001,ma,Operational Support,female,81445,black,married,fully meets,3
3218,spencer,cole,9/4/2018,,staff,michael kelly,spencer.cole@bilearner.com,active,full-time,zone c,part-time,unk,not applicable,General Staff,Various Departments,7/13/1971,ma,Operational Support,male,1880,other,widowed,fully meets,5
1250,jerimiah,jackson,9/6/2018,,staff,sheri pearson,jerimiah.jackson@bilearner.com,active,contract,zone b,full-time,unk,not applicable,General Staff,Various Departments,12/8/1990,ma,Operational Support,female,70353,black,widowed,fully meets,3
2353,dalia,booth,9/7/2018,,staff,michelle nguyen,dalia.booth@bilearner.com,active,part-time,zone b,full-time,unk,not applicable,General Staff,Various Departments,7/26/1997,ma,Operational Support,female,19035,hispanic,married,fully meets,2
1203,mylie,salazar,9/8/2018,,staff,jasmine johnson,mylie.salazar@bilearner.com,active,contract,zone a,part-time,unk,not applicable,General Staff,Various Departments,1/16/1987,ma,Operational Support,male,14153,white,divorced,fully meets,3
1055,chaz,webb,9/8/2018,,staff,alec hernandez,chaz.webb@bilearner.com,active,contract,zone c,full-time,unk,not applicable,General Staff,Various Departments,11/24/1995,ma,Operational Support,female,56708,white,widowed,fully meets,3
3794,ayden,chambers,9/9/2018,,staff,abigail robinson,ayden.chambers@bilearner.com,active,contract,zone a,full-time,unk,not applicable,General Staff,Various Departments,1/20/1996,ma,Operational Support,male,40836,asian,widowed,fully meets,5
2515,mayra,lynn,9/11/2018,,staff,michael perez,mayra.lynn@bilearner.com,active,contract,zone a,full-time,unk,not applicable,General Staff,Various Departments,6/10/1996,ma,Operational Support,male,88143,hispanic,single,fully meets,4
3047,francesca,lowe,9/12/2018,,staff,micheal merritt,francesca.lowe@bilearner.com,active,full-time,zone c,full-time,unk,not applicable,General Staff,Various Departments,10/3/1965,ma,Operational Support,female,33237,white,married,exceeds,5
1770,hayley,york,9/12/2018,,staff,john ramirez,hayley.york@bilearner.com,active,part-time,zone a,full-time,unk,not applicable,General Staff,Various Departments,3/5/1971,ma,Operational Support,male,2072,hispanic,single,fully meets,3
2375,selena,adkins,9/13/2018,,staff,eric campbell,selena.adkins@bilearner.com,active,contract,zone b,full-time,unk,not applicable,General Staff,Various Departments,11/2/1958,ma,Operational Support,male,90110,black,single,fully meets,1
2946,dahlia,waller,9/13/2018,,staff,gloria taylor,dahlia.waller@bilearner.com,active,contract,zone a,full-time,unk,not applicable,General Staff,Various Departments,6/29/1984,ma,Operational Support,male,8439,black,divorced,needs improvement,2
3831,payton,cross,9/14/2018,,staff,john holt,payton.cross@bilearner.com,active,part-time,zone c,part-time,unk,not applicable,General Staff,Various Departments,3/7/1950,ct,Operational Support,female,16260,hispanic,divorced,needs improvement,3
2600,thomas,sloan,9/18/2018,,staff,kelsey dunn,thomas.sloan@bilearner.com,active,full-time,zone c,temporary,unk,not applicable,General Staff,Various Departments,1/16/1965,wa,Operational Support,female,46029,asian,widowed,fully meets,2
1545,jerimiah,mendez,9/20/2018,,staff,lacey andrews,jerimiah.mendez@bilearner.com,active,contract,zone a,part-time,unk,not applicable,General Staff,Various Departments,5/8/1957,ma,Operational Support,female,33362,hispanic,married,fully meets,3
1700,gretchen,weeks,9/20/2018,,staff,katherine mccarthy,gretchen.weeks@bilearner.com,active,contract,zone c,temporary,unk,not applicable,General Staff,Various Departments,4/8/1958,ma,Operational Support,male,61270,asian,widowed,fully meets,3
2208,lisa,galia,9/21/2018,,staff,keith fisher,lisa.galia@bilearner.com,active,full-time,zone b,full-time,unk,not applicable,General Staff,Various Departments,10/20/1948,ct,Operational Support,female,6040,other,married,needs improvement,5
3373,karter,thornton,9/22/2018,,staff,phillip little,karter.thornton@bilearner.com,active,contract,zone a,temporary,unk,not applicable,General Staff,Various Departments,2/6/1989,ma,Operational Support,male,35546,other,married,exceeds,2
1251,callie,murray,9/25/2018,,staff,dennis davis,callie.murray@bilearner.com,active,part-time,zone a,part-time,unk,not applicable,General Staff,Various Departments,3/5/1948,ma,Operational Support,female,27888,asian,married,fully meets,3
1515,shaylee,hall,9/26/2018,,staff,catherine durham,shaylee.hall@bilearner.com,active,full-time,zone b,part-time,unk,not applicable,General Staff,Various Departments,4/18/1997,ma,Operational Support,female,96974,other,married,fully meets,3
1418,kaiden,leblanc,9/26/2018,,staff,timothy hill,kaiden.leblanc@bilearner.com,active,part-time,zone c,temporary,unk,not applicable,General Staff,Various Departments,12/30/2000,ma,Operational Support,female,33720,other,married,needs improvement,3
1442,makena,mcintosh,9/27/2018,,staff,jerome warren,makena.mcintosh@bilearner.com,active,full-time,zone a,temporary,unk,not applicable,General Staff,Various Departments,7/10/1993,ma,Operational Support,female,31956,black,single,needs improvement,3
3143,morgan,elliott,9/28/2018,,staff,emily carter,morgan.elliott@bilearner.com,active,full-time,zone a,temporary,unk,not applicable,General Staff,Various Departments,6/25/1947,ma,Operational Support,female,32652,black,widowed,fully meets,2
3114,cullen,french,9/30/2018,,staff,corey barry,cullen.french@bilearner.com,active,contract,zone c,full-time,unk,not applicable,General Staff,Various Departments,7/6/1957,ma,Operational Support,female,46346,asian,divorced,fully meets,2
1616,rhett,andrews,10/1/2018,,staff,anthony page,rhett.andrews@bilearner.com,active,full-time,zone a,part-time,unk,not applicable,General Staff,Various Departments,6/3/1991,ma,Operational Support,female,65106,black,divorced,needs improvement,3
2906,anabel,hanna,10/2/2018,,staff,anthony mcguire,anabel.hanna@bilearner.com,active,contract,zone b,part-time,unk,not applicable,General Staff,Various Departments,2/11/1979,ma,Operational Support,male,87232,asian,divorced,needs improvement,5
2849,shannon,hurst,10/2/2018,,staff,andrew thomas,shannon.hurst@bilearner.com,active,part-time,zone c,full-time,unk,not applicable,General Staff,Various Departments,7/27/1949,ma,Operational Support,male,4583,hispanic,single,fully meets,5
1703,kadence,sandoval,10/3/2018,,staff,mary waters,kadence.sandoval@bilearner.com,active,full-time,zone b,part-time,unk,not applicable,General Staff,Various Departments,2/23/1978,ma,Operational Support,female,26140,other,single,fully meets,3
1705,randall,miller,10/4/2018,,staff,david kirk,randall.miller@bilearner.com,active,part-time,zone b,full-time,unk,not applicable,General Staff,Various Departments,5/16/1958,ma,Operational Support,female,50425,hispanic,single,fully meets,3
2120,simeon,pittman,10/5/2018,,staff,william waters,simeon.pittman@bilearner.com,active,contract,zone c,full-time,unk,not applicable,General Staff,Various Departments,1/17/1967,ma,Operational Support,female,66867,asian,divorced,needs improvement,2
2861,judith,savage,10/6/2018,,staff,sharon jones,judith.savage@bilearner.com,active,full-time,zone c,full-time,unk,not applicable,General Staff,Various Departments,7/13/1986,ma,Operational Support,male,31403,white,widowed,fully meets,2
2423,yael,garcia,10/10/2018,,staff,tina lopez,yael.garcia@bilearner.com,active,contract,zone a,full-time,unk,not applicable,General Staff,Various Departments,11/10/1977,ma,Operational Support,male,93897,asian,divorced,fully meets,1
3610,kayley,myers,10/11/2018,,staff,brian arnold,kayley.myers@bilearner.com,active,part-time,zone c,full-time,unk,not applicable,General Staff,Various Departments,4/7/1973,ma,Operational Support,female,51430,other,single,fully meets,3
3886,britney,kelly,10/12/2018,,staff,christine mcgee,britney.kelly@bilearner.com,active,part-time,zone b,temporary,unk,not applicable,General Staff,Various Departments,12/6/1977,ct,Operational Support,male,42646,other,single,fully meets,3
2341,jesus,hendricks,10/13/2018,,staff,brandon walsh,jesus.hendricks@bilearner.com,active,full-time,zone a,full-time,unk,not applicable,General Staff,Various Departments,11/2/1984,ma,Operational Support,female,36574,hispanic,divorced,fully meets,2
2982,tanya,foreman,10/14/2018,,staff,kathy hart,tanya.foreman@bilearner.com,active,full-time,zone b,temporary,unk,not applicable,General Staff,Various Departments,1/24/1952,ma,Operational Support,female,2170,other,married,fully meets,2
3109,samara,roberson,10/20/2018,,staff,timothy myers,samara.roberson@bilearner.com,active,full-time,zone a,temporary,unk,not applicable,General Staff,Various Departments,4/25/1999,ma,Operational Support,female,93749,white,married,pip,2
2062,kale,middleton,10/25/2018,,staff,regina roberts,kale.middleton@bilearner.com,active,contract,zone c,temporary,unk,not applicable,General Staff,Various Departments,7/18/1950,ma,Operational Support,female,35346,hispanic,single,fully meets,3
1737,colleen,zima,10/27/2018,,staff,jacqueline jones,colleen.zima@bilearner.com,active,contract,zone c,full-time,unk,not applicable,General Staff,Various Departments,2/26/1983,ma,Operational Support,female,1730,hispanic,widowed,fully meets,3
1292,larissa,warner,10/27/2018,,staff,amy hess,larissa.warner@bilearner.com,active,full-time,zone a,part-time,unk,not applicable,General Staff,Various Departments,6/27/1943,ma,Operational Support,female,28931,white,divorced,fully meets,3
2099,drake,wiggins,10/30/2018,,staff,victor graves dvm,drake.wiggins@bilearner.com,active,full-time,zone b,part-time,unk,not applicable,General Staff,Various Departments,3/29/1969,ma,Operational Support,female,66261,hispanic,widowed,pip,4
2075,oliver,richardson,10/30/2018,,staff,vicki ortega,oliver.richardson@bilearner.com,active,contract,zone a,full-time,unk,not applicable,General Staff,Various Departments,10/13/1976,ma,Operational Support,female,88221,other,married,fully meets,3
3265,giovanni,klein,10/31/2018,,staff,anna hogan,giovanni.klein@bilearner.com,active,part-time,zone c,full-time,unk,not applicable,General Staff,Various Departments,1/23/1993,ma,Operational Support,female,26076,asian,single,fully meets,1
1960,thomas,rhoads,11/3/2018,,staff,sean scott,thomas.rhoads@bilearner.com,active,full-time,zone a,part-time,unk,not applicable,General Staff,Various Departments,5/26/1948,ma,Operational Support,male,2176,white,divorced,fully meets,3
2400,alvaro,le,11/3/2018,,staff,michael anderson,alvaro.le@bilearner.com,active,contract,zone a,part-time,unk,not applicable,General Staff,Various Departments,6/12/1961,ma,Operational Support,male,28115,black,married,fully meets,2
2749,elizabeth,meads,11/15/2018,11/19/2018,staff,matthew wilcox,elizabeth.meads@bilearner.com,voluntarily terminated,full-time,zone b,part-time,retirement,he pm simply interesting.,General Staff,Various Departments,4/8/1949,ma,Operational Support,female,1760,black,widowed,fully meets,5
2995,ronnie,haas,9/3/2018,11/29/2018,staff,jason huber,ronnie.haas@bilearner.com,active,full-time,zone a,full-time,resignation,training party upon.,General Staff,Various Departments,10/17/1954,ma,Operational Support,male,43823,other,single,needs improvement,4
1636,landen,blanchard,10/16/2018,12/17/2018,staff,donna gomez,landen.blanchard@bilearner.com,active,contract,zone b,part-time,involuntary,four look heavy by much.,General Staff,Various Departments,11/7/1998,ma,Operational Support,male,6067,white,single,fully meets,3
1060,frida,livingston,10/10/2018,12/25/2018,staff,sandra black,frida.livingston@bilearner.com,active,part-time,zone b,full-time,voluntary,improve center sure mr respond for recent.,General Staff,Various Departments,2/5/1976,ma,Operational Support,female,20331,black,single,fully meets,3
2950,charlize,rocha,9/14/2018,1/4/2019,staff,james chapman,charlize.rocha@bilearner.com,voluntarily terminated,part-time,zone c,temporary,involuntary,past value city attorney could onto bed.,General Staff,Various Departments,1/4/1943,ma,Operational Support,female,75308,white,married,needs improvement,4
3478,thomas,chandler,9/17/2018,1/9/2019,store manager,richard hodges,thomas.chandler@bilearner.com,active,full-time,zone c,temporary,resignation,read family dark scene scene guess.,Retail,Store Operations,10/10/1957,ky,Management,female,45149,hispanic,married,fully meets,2
2706,yadiel,riggs,12/13/2018,1/13/2019,store manager,eric byrd,yadiel.riggs@bilearner.com,active,part-time,zone a,part-time,involuntary,can last meet shake imagine he.,Retail,Store Operations,9/24/1975,nc,Management,male,39922,asian,widowed,fully meets,2
2249,jewel,bryant,9/28/2018,1/26/2019,staff,james rhodes,jewel.bryant@bilearner.com,active,contract,zone c,part-time,voluntary,only movie ability wait according.,General Staff,Various Departments,11/7/1994,ma,Operational Support,female,2760,black,divorced,fully meets,4
3586,jaqueline,terrell,2/1/2019,2/10/2019,staff,veronica wiley,jaqueline.terrell@bilearner.com,active,part-time,zone b,full-time,resignation,identify next game leader.,General Staff,Various Departments,12/27/2000,ma,Operational Support,female,24711,hispanic,single,fully meets,2
3603,houston,aguirre,11/29/2018,2/21/2019,staff,christine costa,houston.aguirre@bilearner.com,voluntarily terminated,full-time,zone a,part-time,resignation,to trial deep.,General Staff,Various Departments,2/15/1977,ma,Operational Support,female,58348,white,married,fully meets,2
2747,sneha,jhaveri,8/18/2018,2/28/2019,staff,todd gonzales,sneha.jhaveri@bilearner.com,active,part-time,zone b,part-time,voluntary,few attorney all campaign town reflect behavior.,General Staff,Various Departments,11/23/1960,ma,Operational Support,female,2109,hispanic,married,fully meets,4
1117,payten,middleton,2/21/2019,3/6/2019,staff,dennis martinez,payten.middleton@bilearner.com,voluntarily terminated,full-time,zone c,temporary,resignation,place impact which although.,General Staff,Various Departments,8/23/1997,ma,Operational Support,male,6139,other,divorced,fully meets,3
1397,john,kretschmer,12/25/2018,3/11/2019,staff,robert gonzalez,john.kretschmer@bilearner.com,active,contract,zone a,part-time,voluntary,science fall always move thank seat huge.,General Staff,Various Departments,2/26/1981,ma,Operational Support,male,1801,other,single,exceeds,3
1633,K,Modi,10/3/2022,,admin,,k@gmail.com,active,contract,zone b,full-time,unk,not applicable,Administration,Corporate,8/24/2003,ma,Office Administaraton,male,94379,asian,single,fully meets,3
1883,giselle,butler,8/27/2018,3/23/2019,staff,regina goodwin,giselle.butler@bilearner.com,active,full-time,zone b,temporary,voluntary,unit computer what age career.,General Staff,Various Departments,7/3/1967,ma,Operational Support,female,26876,black,single,fully meets,3
2408,Karan ,Modi,10/31/2022,,admin,,karanmodi3282@gmail.com,active,full-time,zone a,full-time,unk,not applicable,Administration,Corporate,8/24/2003,tn,Office Administaraton,male,86185,asian,single,fully meets,5
3113,giselle,calderon,2/3/2019,4/2/2019,staff,donna duffy,giselle.calderon@bilearner.com,active,contract,zone c,full-time,voluntary,stock indeed about brother campaign.,General Staff,Various Departments,7/2/1981,ma,Operational Support,female,96092,white,divorced,fully meets,4
2097,parker,fritz,12/6/2018,4/9/2019,staff,kenneth mathews,parker.fritz@bilearner.com,active,part-time,zone c,full-time,retirement,laugh effort pressure fund.,General Staff,Various Departments,2/25/1964,ma,Operational Support,female,29605,black,widowed,pip,2
2355,karter,perry,3/25/2019,4/23/2019,staff,elizabeth gray,karter.perry@bilearner.com,active,contract,zone c,temporary,retirement,teacher often knowledge free best.,General Staff,Various Departments,1/17/1943,ma,Operational Support,male,91193,asian,single,fully meets,1
2901,deshawn,ayers,10/21/2018,4/24/2019,staff,yesenia hawkins,deshawn.ayers@bilearner.com,active,part-time,zone a,part-time,involuntary,although allow describe school meet argue office.,General Staff,Various Departments,12/21/1991,ma,Operational Support,female,52065,white,single,fully meets,4
3251,elliana,thomas,2/15/2019,4/25/2019,staff,natalie cox,elliana.thomas@bilearner.com,voluntarily terminated,contract,zone a,part-time,resignation,any record environment.,General Staff,Various Departments,4/12/1956,ma,Operational Support,male,36234,white,divorced,fully meets,5
2397,marcos,sloan,9/19/2018,4/29/2019,staff,barry powell,marcos.sloan@bilearner.com,active,part-time,zone b,full-time,retirement,husband should tv sport message friend history.,General Staff,Various Departments,8/22/1990,ma,Operational Support,female,90692,other,widowed,fully meets,2
2030,yuliana,nelson,4/26/2019,5/13/2019,staff,nicole rodriguez,yuliana.nelson@bilearner.com,active,full-time,zone b,full-time,resignation,station opportunity already agency blood answer.,General Staff,Various Departments,8/13/1982,ma,Operational Support,female,34988,asian,married,fully meets,3
1685,lillie,wilkerson,11/11/2018,5/27/2019,staff,jeremy wright,lillie.wilkerson@bilearner.com,terminated for cause,full-time,zone a,full-time,retirement,action whatever school machine fear.,General Staff,Various Departments,6/26/1968,ma,Operational Support,female,16287,black,divorced,fully meets,3
3159,mollie,woodward,8/23/2018,6/19/2019,staff,lindsay white,mollie.woodward@bilearner.com,active,full-time,zone b,part-time,voluntary,allow decide education consider early such.,General Staff,Various Departments,5/29/1978,ma,Operational Support,female,24940,asian,married,fully meets,4
2283,sean,quinn,10/3/2018,6/27/2019,staff,michael stevenson,sean.quinn@bilearner.com,voluntarily terminated,part-time,zone b,temporary,retirement,available area dog republican big town left.,General Staff,Various Departments,12/17/1961,ma,Operational Support,male,2045,white,single,fully meets,4
3240,kyan,fritz,8/12/2018,7/5/2019,staff,taylor kim,kyan.fritz@bilearner.com,voluntarily terminated,full-time,zone c,temporary,voluntary,kid decision small fire year eat.,General Staff,Various Departments,3/5/1980,ma,Operational Support,female,60148,asian,married,fully meets,2
1456,kamila,rosales,6/25/2019,7/9/2019,staff,brittany payne,kamila.rosales@bilearner.com,active,full-time,zone b,full-time,resignation,amount much food.,General Staff,Various Departments,10/8/1956,ma,Operational Support,female,55931,hispanic,married,exceeds,3
3974,zander,franco,12/25/2018,7/10/2019,staff,ronnie garcia,zander.franco@bilearner.com,terminated for cause,part-time,zone c,full-time,involuntary,way appear summer strong.,General Staff,Various Departments,1/7/1986,tx,Operational Support,male,97255,other,married,exceeds,3
2751,mathew,linden,10/27/2018,7/10/2019,staff,steven white,mathew.linden@bilearner.com,leave of absence,full-time,zone b,part-time,retirement,seek reason commercial method among back war.,General Staff,Various Departments,4/15/1967,ma,Operational Support,male,1770,black,single,fully meets,5
